PlayerName,Team Name,Batting Hand,Mat,Inns,Runs,Balls,Highest,N/O,Avg,SR,4s,6s,50s,100s
Parth Gandhi,Sugam Scorchers,RHB,7,7,241,103,92*,2,48.2,233.98,3,37,3,0
Harsh,Sugam Spartans,RHB,5,5,178,79,70*,2,59.33,225.32,3,27,2,0
Haardam Doshi,Sugam Strikers,RHB,5,5,156,76,55*,2,52,205.26,2,23,1,0
Nisarg,Sugam Strikers,RHB,5,5,135,59,40*,4,135,228.81,1,20,0,0
Jinang,Sugam Scorchers,RHB,7,6,122,65,39,2,30.5,187.69,4,16,0,0
Rushil Khatri,Sugam Stunners,RHB,5,5,114,49,49,1,28.5,232.65,2,17,0,0
Rushabh Thakkar,Sugam Spartans,RHB,5,5,95,48,38*,2,31.67,197.92,6,11,0,0
Dollar Shah,Sugam Smashers,RHB,4,4,87,38,64*,1,29,228.95,2,13,1,0
Darsh Sondarwa,Sugam Scorchers,RHB,7,6,80,52,28,0,13.33,153.85,3,11,0,0
Harshil Dave,Sugam Spartans,RHB,5,4,63,31,49*,1,21,203.23,0,10,0,0
Jayrajsinh Dodiya,Sugam Smashers,RHB,4,4,56,42,25*,2,28,133.33,0,8,0,0
Yash Agrawal,Sugam Stunners,LHB,5,5,51,50,21*,2,17,102,3,5,0,0
Shubham Shah,Sugam Strikers,RHB,5,3,34,22,21,2,34,154.55,2,4,0,0
Deep Shah,Sugam Spartans,RHB,5,2,33,12,33*,2,-,275,2,4,0,0
Rushabh,Sugam Scorchers,LHB,7,5,33,30,21*,3,16.5,110,2,4,0,0
Sagar Thakkar,Sugam Smashers,LHB,4,4,25,30,12*,1,8.33,83.33,1,3,0,0
Prince Jobanputra,Sugam Stunners,RHB,5,4,20,23,10,2,10,86.96,0,2,0,0
Jaydip Pandya,Sugam Scorchers,RHB,7,5,14,11,13*,3,7,127.27,0,2,0,0
Khushal Tank,Sugam Stunners,RHB,5,4,10,14,6*,1,3.33,71.43,1,1,0,0
Shah Dev,Sugam Spartans,RHB,5,3,7,9,7*,2,7,77.78,0,1,0,0
Parth Parmar,Sugam Smashers,RHB,4,3,7,9,6,0,2.33,77.78,0,1,0,0
Vansh Agrawal,Sugam Strikers,LHB,5,1,6,3,6*,1,-,200,0,1,0,0
Om Dave,Sugam Smashers,RHB,4,3,6,2,6,2,6,300,0,1,0,0
Vishal Jhanwar,Sugam Scorchers,RHB,7,1,1,5,1*,1,-,20,0,0,0,0
Jishant,Sugam Stunners,RHB,5,2,1,5,1*,1,1,20,0,0,0,0
