Rank,Player,Match,Ing,Overs,Run,Wickets,Highest,Maidens,Avg,Econ,SR
1,Sagar Thakkar,3,3,3,17,3,1,1,5.67,5.67,6
2,Pramit Shah,3,2,2,12,3,3,0,4,6,4
3,Nisarg,4,4,4,49,3,2,0,16.33,12.25,8
4,Vatsh Agrawal,4,4,4,45,2,1,0,22.5,11.25,12
5,Kunal Kaka,2,2,2,33,2,2,0,16.5,16.5,6
6,Harsh,4,4,4,19,1,1,0,19,4.75,24
7,Jinang,3,3,3,28,1,1,0,28,9.33,18
8,Malhar Shah,2,2,2,22,1,1,0,22,11,12
9,Megh Shah,3,3,2.2,27,1,1,0,27,11.57,14
10,Haardam Doshi,4,4,4,50,1,1,0,50,12.5,24
11,Rushi Patel,3,3,2.5,36,1,1,0,36,12.71,17
12,Kavan,4,3,3,40,1,1,0,40,13.33,18
13,Chirag Desai,3,3,3,45,1,1,0,45,15,18
14,Rushang,3,2,1.2,32,1,1,0,32,24,8
15,Rushil Khatri,3,2,2,13,0,0,0,0,6.5,0
16,Rushabh Thakkar,3,2,2,20,0,0,0,0,10,0
17,Yash Agrawal,3,3,3,30,0,0,0,0,10,0
18,Parth Gandhi,3,3,3,34,0,0,0,0,11.33,0
19,Darsh Sondarwa,2,2,2,24,0,0,0,0,12,0
20,Prince Jobanputra,3,3,3,40,0,0,0,0,13.33,0
21,Neel,2,2,2,33,0,0,0,0,16.5,0
22,Jatan Agrawal,4,3,3,54,0,0,0,0,18,0
23,Rushabh,2,2,2,37,0,0,0,0,18.5,0
24,Devam Khatri,2,2,2,64,0,0,0,0,32,0
