Rank,PlayerName,Mat,Inns,Runs,Balls,Highest,N/O,Avg,SR,4s,6s,50s,100s
1,Haardam Doshi,4,4,188,68,92*,2,94,276.47,4,28,1,0
2,Parth Gandhi,4,4,106,57,38*,3,106,185.96,3,14,0,0
3,Jinang,3,3,89,44,42*,1,44.5,202.27,2,13,0,0
4,Malhar Shah,3,3,87,53,54*,3,-,164.15,2,13,1,0
5,Rushil Khatri,3,3,81,42,36*,2,81,192.86,2,11,0,0
6,Jayraj,3,3,74,38,45,0,24.67,194.74,3,10,0,0
7,Harsh,3,3,69,20,51,0,23,345,2,10,1,0
8,Yash Agrawal,2,2,40,24,22*,1,40,166.67,2,5,0,0
9,Chirag Desai,2,2,39,35,22*,2,-,111.43,2,5,0,0
10,Darsh Sondarwa,3,3,34,20,12,0,11.33,170,1,5,0,0
11,Prince Jobanputra,3,3,16,8,16*,2,16,200,1,2,0,0
12,Kush Daxini,4,3,16,12,10,1,8,133.33,1,2,0,0
13,Shah Dev,3,2,5,4,5*,1,5,125,1,0,0,0
14,Binod,3,1,4,6,4*,1,-,66.67,1,0,0,0
15,Vansh Agrawal,2,1,1,2,1*,1,-,50,0,0,0,0
16,Rushang,3,1,1,2,1*,1,-,50,0,0,0,0
