Player,Match,Ing,Overs,Run,Wickets,Highest,Maidens,Avg,Econ,SR
Haardam Doshi,4,4,8,73,7,4,1,10.43,9.12,6.86
Shah Dev,3,3,5,36,3,2,0,12,7.2,10
Rushil Khatri,3,3,3,32,3,2,0,10.67,10.67,6
Sagar Thakkar,4,4,4,47,3,1,1,15.67,11.75,8
Dollar Shah,3,3,3,37,3,1,0,12.33,12.33,6
Jinang,5,5,8,101,3,3,1,33.67,12.62,16
Megh Shah,5,5,8,57,2,2,1,28.5,7.12,24
Vansh Thakar,4,3,3,53,2,2,0,26.5,17.67,9
Dev Dave,4,3,2.4,57,2,1,0,28.5,21.38,8
Parth Gandhi,4,4,8,63,1,1,1,63,7.88,48
Yash Agrawal,4,4,4,35,1,1,0,35,8.75,24
Prince Jobanputra,4,4,4,35,1,1,0,35,8.75,24
Malhar Shah,3,3,2,26,1,1,0,26,13,12
Rushang,4,4,3.5,50,1,1,0,50,13.04,23
Vansh Agrawal,5,5,5,77,1,1,0,77,15.4,30
Khushal Tank,4,4,4,77,1,1,0,77,19.25,24
Parva Raval,3,2,1.3,32,1,1,0,32,21.33,9
Darsh Sondarwa,4,4,5,23,0,0,1,0,4.6,0
Rushabh Thakkar,4,4,4,40,0,0,0,0,10,0
Vishwaraj Sinh Jhala,5,4,3.2,34,0,0,1,0,10.2,0
Yash Jangid,3,2,2,25,0,0,0,0,12.5,0
Jayraj,5,5,5,63,0,0,0,0,12.6,0
Harsh,5,5,5,65,0,0,0,0,13,0
Jaydip Pandya,4,2,2,39,0,0,0,0,19.5,0
